Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Clicks,Cost,Impressions
139402218,Brand & Category_Brand,8105048298,brand & category_brand_bare love,455125031,bare love,0,0,2
139402218,Brand & Category_Brand,8105048298,brand & category_brand_bare love,456886871,bare love,0,0,1
139402218,Brand & Category_Brand,8105048298,brand & category_brand_bare love,478670351,bare love,0,0,76
139402218,Brand & Category_Brand,8105048418,brand & category_brand_glamglow,23513847848,glamglow,6,7650000,339
139402218,Brand & Category_Brand,8105048418,brand & category_brand_glamglow,26880831312,glamglow,0,0,0
139402218,Brand & Category_Brand,8105048418,brand & category_brand_glamglow,27407742435,glamglow,0,0,0
139402218,Brand & Category_Brand,8105048538,brand & category_brand_is clinical,16118610,clinical,0,0,0
139402218,Brand & Category_Brand,8105048538,brand & category_brand_is clinical,90187069,clinical,0,0,0
139402218,Brand & Category_Brand,8105048538,brand & category_brand_is clinical,129452118,clinical,0,0,0
139402218,Brand & Category_Brand,8105048658,brand & category_brand_obagi,23917810,obagi,0,0,0
139402218,Brand & Category_Brand,8105048658,brand & category_brand_obagi,31617033,obagi,0,0,0
139402218,Brand & Category_Brand,8105048658,brand & category_brand_obagi,37124460,obagi,0,0,0
139402218,Brand & Category_Brand,8105048778,brand & category_brand_skinmedica,52985161,skinmedica,0,0,0
139402218,Brand & Category_Brand,8105048778,brand & category_brand_skinmedica,112757521,skinmedica,0,0,0
139402218,Brand & Category_Brand,8105048778,brand & category_brand_skinmedica,159876976,skinmedica,0,0,0
139576218,Custom_In Stock Items,8240826378,Custom_In Stock Items_skinmedica_skinmedica sunscreen,357563778,skinmedica sunscreen,0,0,2
139576218,Custom_In Stock Items,8240826378,Custom_In Stock Items_skinmedica_skinmedica sunscreen,552928955,skinmedica sunscreen,0,0,3
139576218,Custom_In Stock Items,8240826378,Custom_In Stock Items_skinmedica_skinmedica sunscreen,552930515,skinmedica sunscreen,0,0,1
139576218,Custom_In Stock Items,8240826498,Custom_In Stock Items_skinmedica_skinmedica tri-retinol complex,22148178400,skinmedica tri-retinol complex,0,0,0
139576218,Custom_In Stock Items,8240826498,Custom_In Stock Items_skinmedica_skinmedica tri-retinol complex,24909356096,skinmedica tri-retinol complex,0,0,0
139576218,Custom_In Stock Items,8240826498,Custom_In Stock Items_skinmedica_skinmedica tri-retinol complex,24910086416,skinmedica tri-retinol complex,0,0,0
139576218,Custom_In Stock Items,8240826618,Custom_In Stock Items_skinmedica_skinmedica lip plump system,8476425379,skinmedica lip plump system,0,0,0
139576218,Custom_In Stock Items,8240826618,Custom_In Stock Items_skinmedica_skinmedica lip plump system,38273584299,skinmedica lip plump system,0,0,0
139576218,Custom_In Stock Items,8240826618,Custom_In Stock Items_skinmedica_skinmedica lip plump system,39638283220,skinmedica lip plump system,0,0,0
139576218,Custom_In Stock Items,8240826738,Custom_In Stock Items_skinmedica_skinmedica recovery complex,583318652,skinmedica recovery complex,0,0,0
139576218,Custom_In Stock Items,8240826738,Custom_In Stock Items_skinmedica_skinmedica recovery complex,1315921931,skinmedica recovery complex,0,0,0
139576218,Custom_In Stock Items,8240826738,Custom_In Stock Items_skinmedica_skinmedica recovery complex,1383035771,skinmedica recovery complex,0,0,0
139576218,Custom_In Stock Items,8240826858,Custom_In Stock Items_skinmedica_skinmedica restorative ointment,25479407425,skinmedica restorative ointment,0,0,0
139576218,Custom_In Stock Items,8240826858,Custom_In Stock Items_skinmedica_skinmedica restorative ointment,37438300778,skinmedica restorative ointment,0,0,0
139576218,Custom_In Stock Items,8240826858,Custom_In Stock Items_skinmedica_skinmedica restorative ointment,38167609180,skinmedica restorative ointment,0,0,0
139576218,Custom_In Stock Items,8240826978,Custom_In Stock Items_skinmedica_skinmedica daily moisturizer,1683851422,skinmedica daily moisturizer,0,0,0
139576218,Custom_In Stock Items,8240826978,Custom_In Stock Items_skinmedica_skinmedica daily moisturizer,36178095214,skinmedica daily moisturizer,0,0,0
139576218,Custom_In Stock Items,8240826978,Custom_In Stock Items_skinmedica_skinmedica daily moisturizer,36178407934,skinmedica daily moisturizer,0,0,0
139576218,Custom_In Stock Items,8240827098,Custom_In Stock Items_skinmedica_skinmedica ultimate daily moisturizer,1683851122,skinmedica ultimate daily moisturizer,0,0,0
139576218,Custom_In Stock Items,8240827098,Custom_In Stock Items_skinmedica_skinmedica ultimate daily moisturizer,4550683103,skinmedica ultimate daily moisturizer,0,0,0
139576218,Custom_In Stock Items,8240827098,Custom_In Stock Items_skinmedica_skinmedica ultimate daily moisturizer,23547962992,skinmedica ultimate daily moisturizer,0,0,0
139576218,Custom_In Stock Items,8240827218,Custom_In Stock Items_skinmedica_skinmedica ceramide treatment cream,12023718520,skinmedica ceramide treatment cream,0,0,0
139576218,Custom_In Stock Items,8240827218,Custom_In Stock Items_skinmedica_skinmedica ceramide treatment cream,34489784710,skinmedica ceramide treatment cream,0,0,0
139576218,Custom_In Stock Items,8240827218,Custom_In Stock Items_skinmedica_skinmedica ceramide treatment cream,44273010352,skinmedica ceramide treatment cream,0,0,0
139576218,Custom_In Stock Items,8240827338,Custom_In Stock Items_skinmedica_skinmedica ceramid cream,61764844578,skinmedica ceramid cream,0,0,0
139576218,Custom_In Stock Items,8240827338,Custom_In Stock Items_skinmedica_skinmedica ceramid cream,61764850338,skinmedica ceramid cream,0,0,0
139576218,Custom_In Stock Items,8240827338,Custom_In Stock Items_skinmedica_skinmedica ceramid cream,61764855978,skinmedica ceramid cream,0,0,0
139576218,Custom_In Stock Items,8240827458,Custom_In Stock Items_skinmedica_skinmedica line refine,7416253084,skinmedica line refine,0,0,0
139576218,Custom_In Stock Items,8240827458,Custom_In Stock Items_skinmedica_skinmedica line refine,10138640476,skinmedica line refine,0,0,2
139576218,Custom_In Stock Items,8240827458,Custom_In Stock Items_skinmedica_skinmedica line refine,38167559380,skinmedica line refine,0,0,1
139576218,Custom_In Stock Items,8240827578,Custom_In Stock Items_skinmedica_skinmedica redness relief,20867168189,skinmedica redness relief,0,0,0
139576218,Custom_In Stock Items,8240827578,Custom_In Stock Items_skinmedica_skinmedica redness relief,22148178760,skinmedica redness relief,0,0,0
139576218,Custom_In Stock Items,8240827578,Custom_In Stock Items_skinmedica_skinmedica redness relief,22996256429,skinmedica redness relief,0,0,9
139576218,Custom_In Stock Items,8240827698,Custom_In Stock Items_skinmedica_skinmedica redness relief calmplex,20867072309,skinmedica redness relief calmplex,0,0,0
139576218,Custom_In Stock Items,8240827698,Custom_In Stock Items_skinmedica_skinmedica redness relief calmplex,24910087016,skinmedica redness relief calmplex,0,0,0
139576218,Custom_In Stock Items,8240827698,Custom_In Stock Items_skinmedica_skinmedica redness relief calmplex,25650313977,skinmedica redness relief calmplex,0,0,0
